0	1	0	0.105023	0	0.105023
0.0001	0.999099	0.001	0.105023	0.001	0.105023
0.0002	0.998199	0.002	0.105023	0.002	0.105023
0.0003	0.9973	0.003	0.105023	0.003	0.105023
0.0004	0.996402	0.004	0.105023	0.004	0.105023
0.0005	0.995505	0.005	0.105023	0.005	0.105023
0.0006	0.994609	0.006	0.105023	0.006	0.105023
0.0007	0.993714	0.007	0.105023	0.007	0.105023
0.0008	0.99282	0.008	0.105023	0.008	0.105023
0.0009	0.991927	0.009	0.105023	0.009	0.105023
0.001	0.991035	0.01	0.105023	0.01	0.105023
0.0011	0.990144	0.011	0.105023	0.011	0.105023
0.0012	0.989254	0.012	0.105023	0.012	0.105023
0.0013	0.988365	0.013	0.105023	0.013	0.105023
0.0014	0.987477	0.014	0.105023	0.014	0.105023
0.0015	0.98659	0.015	0.105023	0.015	0.105023
0.0016	0.985703	0.016	0.105023	0.016	0.105023
0.0017	0.984818	0.017	0.105023	0.017	0.105023
0.0018	0.983934	0.018	0.105023	0.018	0.105023
0.0019	0.983051	0.019	0.105023	0.019	0.105023
0.002	0.982168	0.02	0.105023	0.02	0.105023
0.0021	0.981287	0.021	0.105023	0.021	0.105023
0.0022	0.980407	0.022	0.105023	0.022	0.105023
0.0023	0.979527	0.023	0.105023	0.023	0.105023
0.0024	0.978649	0.024	0.105023	0.024	0.105023
0.0025	0.977771	0.025	0.105023	0.025	0.105023
0.0026	0.976895	0.026	0.105023	0.026	0.105023
0.0027	0.976019	0.027	0.105023	0.027	0.105023
0.0028	0.975145	0.028	0.105023	0.028	0.105023
0.0029	0.974271	0.029	0.105023	0.029	0.105023
0.003	0.973398	0.03	0.105023	0.03	0.105023
0.0031	0.972527	0.031	0.105023	0.031	0.105023
0.0032	0.971656	0.032	0.105023	0.032	0.105023
0.0033	0.970786	0.033	0.105023	0.033	0.105023
0.0034	0.969917	0.034	0.105023	0.034	0.105023
0.0035	0.969049	0.035	0.105023	0.035	0.105023
0.0036	0.968183	0.036	0.105023	0.036	0.105023
0.0037	0.967317	0.037	0.105023	0.037	0.105023
0.0038	0.966451	0.038	0.105023	0.038	0.105023
0.0039	0.965587	0.039	0.105023	0.039	0.105023
0.004	0.964724	0.04	0.105023	0.04	0.105023
0.0041	0.963862	0.041	0.105023	0.041	0.105023
0.0042	0.963001	0.042	0.105023	0.042	0.105023
0.0043	0.96214	0.043	0.105023	0.043	0.105023
0.0044	0.961281	0.044	0.105023	0.044	0.105023
0.0045	0.960423	0.045	0.105023	0.045	0.105023
0.0046	0.959565	0.046	0.105023	0.046	0.105023
0.0047	0.958709	0.047	0.105023	0.047	0.105023
0.0048	0.957853	0.048	0.105023	0.048	0.105023
0.0049	0.956998	0.049	0.105023	0.049	0.105023
0.005	0.956145	0.05	0.105023	0.05	0.105023
0.0051	0.955292	0.051	0.105023	0.051	0.105023
0.0052	0.95444	0.052	0.105023	0.052	0.105023
0.0053	0.953589	0.053	0.105023	0.053	0.105023
0.0054	0.952739	0.054	0.105023	0.054	0.105023
0.0055	0.95189	0.055	0.105023	0.055	0.105023
0.0056	0.951042	0.056	0.105023	0.056	0.105023
0.0057	0.950194	0.057	0.105023	0.057	0.105023
0.0058	0.949348	0.058	0.105023	0.058	0.105023
0.0059	0.948503	0.059	0.105023	0.059	0.105023
0.006	0.947658	0.06	0.105023	0.06	0.105023
