N	Correct Total	Correct Training	Correct Testing
1	203	188	15
2	259	233	26
3	298	260	38
4	327	282	45
5	352	298	54
6	385	323	62
7	413	342	71
8	438	356	82
9	452	362	90
10	471	373	98
11	502	395	107
12	525	404	121
13	542	415	127
14	555	422	133
15	573	432	141
16	592	446	146
17	614	460	154
18	632	473	159
19	651	482	169
20	678	499	179
21	697	510	187
22	706	516	190
23	715	523	192
24	735	534	201
25	747	541	206
26	761	549	212
27	771	554	217
28	784	564	220
29	801	574	227
30	811	580	231
31	823	588	235
32	840	599	241
33	854	604	250
34	866	611	255
35	882	624	258
36	900	637	263
37	912	644	268
38	923	649	274
39	936	657	279
40	944	663	281
41	961	670	291
42	964	671	293
43	974	676	298
44	986	683	303
45	1001	690	311
46	1012	695	317
47	1026	704	322
48	1038	710	328
49	1048	716	332
50	1057	721	336
