N	Correct Total	Correct Training	Correct Testing
1	106	98	8
2	148	125	23
3	168	141	27
4	187	153	34
5	212	167	45
6	230	178	52
7	247	188	59
8	264	200	64
9	287	215	72
10	297	223	74
11	314	233	81
12	327	241	86
13	337	246	91
14	349	250	99
15	357	255	102
16	370	260	110
17	384	268	116
18	392	271	121
19	395	272	123
20	403	276	127
21	406	276	130
22	412	281	131
23	422	286	136
24	433	291	142
25	442	296	146
26	446	298	148
27	449	299	150
28	455	301	154
29	464	304	160
30	472	308	164
31	484	315	169
32	490	318	172
33	499	322	177
34	509	326	183
35	519	331	188
36	529	335	194
37	538	337	201
38	545	342	203
39	549	346	203
40	554	349	205
41	562	352	210
42	565	353	212
43	570	355	215
44	577	358	219
45	584	364	220
46	589	367	222
47	598	372	226
48	605	377	228
49	607	378	229
50	617	385	232
